wall_iso,epoch,feed,header_ts,wire_bytes,status
2026-08-05T12:03:03,1785949383.2,trips,1785949335,233254,200
2026-08-05T12:03:03,1785949383.5,vehicles,1785949335,13885,200
2026-08-05T12:03:03,1785949383.8,alerts,1785949312,25853,200
2026-08-05T12:03:13,1785949393.2,trips,1785949377,229383,200
2026-08-05T12:03:13,1785949393.5,vehicles,1785949377,13608,200
2026-08-05T12:03:13,1785949393.8,alerts,1785949372,25853,200
2026-08-05T12:03:23,1785949403.2,trips,1785949377,229383,200
2026-08-05T12:03:23,1785949403.5,vehicles,1785949377,13608,200
2026-08-05T12:03:23,1785949403.8,alerts,1785949372,25853,200
2026-08-05T12:03:33,1785949413.2,trips,1785949377,229383,200
2026-08-05T12:03:33,1785949413.5,vehicles,1785949377,13608,200
2026-08-05T12:03:33,1785949413.8,alerts,1785949372,25853,200
2026-08-05T12:03:43,1785949423.2,trips,1785949398,225125,200
2026-08-05T12:03:43,1785949423.5,vehicles,1785949398,13498,200
2026-08-05T12:03:43,1785949423.7,alerts,1785949372,25853,200
2026-08-05T12:03:53,1785949433.2,trips,1785949398,225125,200
2026-08-05T12:03:53,1785949433.5,vehicles,1785949398,13498,200
2026-08-05T12:03:53,1785949433.8,alerts,1785949372,25853,200
2026-08-05T12:04:03,1785949443.2,trips,1785949398,225125,200
2026-08-05T12:04:03,1785949443.6,vehicles,1785949398,13498,200
2026-08-05T12:04:03,1785949443.8,alerts,1785949372,25853,200
2026-08-05T12:04:13,1785949453.2,trips,1785949441,217977,200
2026-08-05T12:04:13,1785949453.5,vehicles,1785949441,12928,200
2026-08-05T12:04:13,1785949453.8,alerts,1785949432,25853,200
2026-08-05T12:04:23,1785949463.2,trips,1785949441,217977,200
2026-08-05T12:04:23,1785949463.5,vehicles,1785949441,12928,200
2026-08-05T12:04:23,1785949463.7,alerts,1785949432,25853,200
2026-08-05T12:04:33,1785949473.2,trips,1785949441,217977,200
2026-08-05T12:04:33,1785949473.5,vehicles,1785949441,12928,200
2026-08-05T12:04:33,1785949473.8,alerts,1785949432,25853,200
2026-08-05T12:04:43,1785949483.2,trips,1785949441,217977,200
2026-08-05T12:04:43,1785949483.6,vehicles,1785949441,12928,200
2026-08-05T12:04:43,1785949483.8,alerts,1785949432,25853,200
2026-08-05T12:04:53,1785949493.2,trips,1785949483,214840,200
2026-08-05T12:04:53,1785949493.6,vehicles,1785949483,12923,200
2026-08-05T12:04:53,1785949493.8,alerts,1785949432,25853,200
2026-08-05T12:05:03,1785949503.2,trips,1785949483,214840,200
2026-08-05T12:05:03,1785949503.5,vehicles,1785949483,12923,200
2026-08-05T12:05:03,1785949503.8,alerts,1785949432,25853,200
2026-08-05T12:05:13,1785949513.2,trips,1785949483,214840,200
2026-08-05T12:05:13,1785949513.5,vehicles,1785949483,12923,200
2026-08-05T12:05:13,1785949513.8,alerts,1785949432,25853,200
2026-08-05T12:05:23,1785949523.2,trips,1785949505,214260,200
2026-08-05T12:05:23,1785949523.5,vehicles,1785949505,12827,200
2026-08-05T12:05:23,1785949523.8,alerts,1785949492,25853,200
2026-08-05T12:05:33,1785949533.2,trips,1785949505,214260,200
2026-08-05T12:05:33,1785949533.5,vehicles,1785949505,12827,200
2026-08-05T12:05:33,1785949533.7,alerts,1785949492,25853,200
2026-08-05T12:05:43,1785949543.2,trips,1785949505,214260,200
2026-08-05T12:05:43,1785949543.6,vehicles,1785949505,12827,200
